N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
255;240;RS_GF_256;2,487 / 6,272 ( 40 % );26 / 92 ( 28 % );1109;6,128 / 276,480 ( 2 % );102.31
255;239;RS_GF_256;2,706 / 6,272 ( 43 % );26 / 92 ( 28 % );1206;6,128 / 276,480 ( 2 % );97.13
255;238;RS_GF_256;2,765 / 6,272 ( 44 % );26 / 92 ( 28 % );1239;6,128 / 276,480 ( 2 % );100.21
255;237;RS_GF_256;2,958 / 6,272 ( 47 % );26 / 92 ( 28 % );1335;6,128 / 276,480 ( 2 % );101.99
255;236;RS_GF_256;3,002 / 6,272 ( 48 % );26 / 92 ( 28 % );1367;6,128 / 276,480 ( 2 % );99.8
255;235;RS_GF_256;3,207 / 6,272 ( 51 % );26 / 92 ( 28 % );1463;6,128 / 276,480 ( 2 % );97.93
255;234;RS_GF_256;3,239 / 6,272 ( 52 % );26 / 92 ( 28 % );1495;6,128 / 276,480 ( 2 % );98.33
255;233;RS_GF_256;3,429 / 6,272 ( 55 % );26 / 92 ( 28 % );1591;6,128 / 276,480 ( 2 % );94.73
255;232;RS_GF_256;3,447 / 6,272 ( 55 % );26 / 92 ( 28 % );1623;6,128 / 276,480 ( 2 % );93.97
255;231;RS_GF_256;3,646 / 6,272 ( 58 % );26 / 92 ( 28 % );1719;6,128 / 276,480 ( 2 % );95.14
255;230;RS_GF_256;3,692 / 6,272 ( 59 % );26 / 92 ( 28 % );1751;6,128 / 276,480 ( 2 % );96.87
255;229;RS_GF_256;3,870 / 6,272 ( 62 % );26 / 92 ( 28 % );1847;6,128 / 276,480 ( 2 % );94.98
255;228;RS_GF_256;3,907 / 6,272 ( 62 % );26 / 92 ( 28 % );1879;6,128 / 276,480 ( 2 % );94.95
255;227;RS_GF_256;4,103 / 6,272 ( 65 % );26 / 92 ( 28 % );1975;6,128 / 276,480 ( 2 % );90.51
255;226;RS_GF_256;4,140 / 6,272 ( 66 % );26 / 92 ( 28 % );2007;6,128 / 276,480 ( 2 % );94.97
