tech,BER Target,input_preFEC_BER,n,t,rate,energy,p_correctable
ASAP7,1e-15,3.162277660168379e-28,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1e-27,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.1622776601683794e-27,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,9.999999999999999e-27,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.162277660168379e-26,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1e-25,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.1622776601683796e-25,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1e-24,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.1622776601683795e-24,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1e-23,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.1622776601683793e-23,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,9.999999999999999e-23,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.1622776601683793e-22,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1e-21,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.1622776601683792e-21,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1.0000000000000001e-20,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.162277660168379e-20,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1e-19,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.1622776601683796e-19,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,9.999999999999999e-19,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.162277660168379e-18,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1e-17,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.162277660168379e-17,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1e-16,514,1,0.9961089494163424,0.026732630518230216,4.565237077255208e-13
ASAP7,1e-15,3.1622776601683793e-16,514,1,0.9961089494163424,0.0267326305195344,1.3695711231753085e-12
ASAP7,1e-15,1e-15,514,1,0.9961089494163424,0.026732630523446946,4.1087133695147195e-12
ASAP7,1e-15,3.1622776601683794e-15,514,1,0.9961089494163424,0.026732630535836674,1.2782663816157341e-11
ASAP7,1e-15,1e-14,514,1,0.9961089494163424,0.02673263057626632,4.1087133693630606e-11
ASAP7,1e-15,3.1622776601683796e-14,514,1,0.9961089494163424,0.02673263070342407,1.3010925668493746e-10
ASAP7,1e-15,1e-13,514,1,0.9961089494163424,0.02673263110511214,4.113278604920208e-10
ASAP7,1e-15,3.162277660168379e-13,514,1,0.9961089494163424,0.026732632374733365,1.3001795179156966e-09
ASAP7,1e-15,1e-12,514,1,0.9961089494163424,0.02673263639096197,4.111909018610728e-09
ASAP7,1e-15,3.162277660168379e-12,514,1,0.9961089494163424,0.02673264909108658,1.3003164598398597e-08
ASAP7,1e-15,1e-11,514,1,0.9961089494163424,0.026732689252718607,4.112000171470681e-08
ASAP7,1e-15,3.162277660168379e-11,514,1,0.9961089494163424,0.026732816254597225,1.3003300036695409e-07
ASAP7,1e-15,9.999999999999999e-11,514,1,0.9961089494163424,0.026733217868765997,4.111998652662457e-07
ASAP7,1e-15,3.162277660168379e-10,516,2,0.9922480620155039,0.04895257035461214,1.3053871393348388e-06
ASAP7,1e-15,9.999999999999999e-10,516,2,0.9922480620155039,0.04895672289798611,4.127991379571466e-06
ASAP7,1e-15,3.162277660168379e-09,516,2,0.9922480620155039,0.048969854315552376,1.3053796979865385e-05
ASAP7,1e-15,1e-08,516,2,0.9922480620155039,0.049011378732747364,4.127914840727307e-05
ASAP7,1e-15,3.162277660168379e-08,518,3,0.9884169884169884,0.06994147377400459,0.0001310362024014482
ASAP7,1e-15,1e-07,518,3,0.9884169884169884,0.07036774569391749,0.00041431416867210926
ASAP7,1e-15,3.162277660168379e-07,518,3,0.9884169884169884,0.07171494141933644,0.0013095898071499858
ASAP7,1e-15,1e-06,520,4,0.9846153846153847,0.09902438841971727,0.004151361257559928
ASAP7,1e-15,3.162277660168379e-06,522,5,0.9808429118773946,0.13729987416318118,0.013118879793486275
ASAP7,1e-15,9.999999999999999e-06,524,6,0.9770992366412213,0.20973513213626507,0.041053707772867085
ASAP7,1e-15,3.1622776601683795e-05,528,8,0.9696969696969697,0.4020013847099372,0.1250396609136359
ASAP7,1e-15,9.999999999999999e-05,534,11,0.9588014981273408,0.9154768383418921,0.3476808620486036
ASAP7,1e-15,0.00031622776601683794,546,17,0.9377289377289377,2.0063488392687674,0.7487988654840736
ASAP7,1e-15,0.001,568,28,0.9014084507042254,3.295134231759382,0.9893933436329829
ASAP7,1e-12,9.999999999999999e-31,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.1622776601683794e-30,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,1e-29,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.162277660168379e-29,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,1.0000000000000001e-28,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.162277660168379e-28,514,1,0.9961089494163424,0.026732630517578126,0.0
