tech,target_post_BER,input_preFEC_BER,n,rate,clk_ns,area_total_um2,area_total_mm2,throughput_gbps,area_per_gbps
ASAP7,1e-30,1e-11,518.0,0.9884169884169884,1.55,8807.515331999999,0.008807515331999999,2.550753518495454,0.0034529072558900386
ASAP7,1e-30,3.162277660168379e-11,518.0,0.9884169884169884,1.55,8807.515331999999,0.008807515331999999,2.550753518495454,0.0034529072558900386
ASAP7,1e-30,9.999999999999999e-11,520.0,0.9846153846153847,1.55,9001.939628,0.009001939628,2.540942928039702,0.0035427555371914067
ASAP7,1e-30,3.162277660168379e-10,520.0,0.9846153846153847,1.55,9001.939628,0.009001939628,2.540942928039702,0.0035427555371914067
ASAP7,1e-30,9.999999999999999e-10,520.0,0.9846153846153847,1.55,9001.939628,0.009001939628,2.540942928039702,0.0035427555371914067
ASAP7,1e-30,3.162277660168379e-09,522.0,0.9808429118773946,1.55,9200.038086,0.009200038086000001,2.5312075145223085,0.003634643952823536
ASAP7,1e-30,1e-08,522.0,0.9808429118773946,1.55,9200.038086,0.009200038086000001,2.5312075145223085,0.003634643952823536
ASAP7,1e-30,3.162277660168379e-08,524.0,0.9770992366412213,1.55,9394.491542,0.009394491542,2.521546417138635,0.003725686538287306
ASAP7,1e-30,1e-07,526.0,0.973384030418251,1.55,9591.97764,0.009591977639999999,2.5119587881761314,0.003818525082955078
ASAP7,1e-30,3.162277660168379e-07,528.0,0.9696969696969697,1.55,9791.636158000001,0.009791636158000001,2.502443792766373,0.003912829605325782
ASAP7,1e-30,1e-06,530.0,0.9660377358490566,1.55,9994.035715,0.009994035715,2.4930006086427263,0.00400883805657837
ASAP7,1e-30,3.162277660168379e-06,532.0,0.9624060150375939,1.55,10190.107552000001,0.010190107552000002,2.4836284259034676,0.004102911468446877
ASAP7,1e-30,9.999999999999999e-06,538.0,0.9516728624535316,1.55,10786.356643,0.010786356643,2.4559299676220165,0.004391964260057471
ASAP7,1e-30,3.1622776601683795e-05,544.0,0.9411764705882353,1.55,11360.269176,0.011360269176,2.4288425047438325,0.004677235824806251
ASAP7,1e-30,9.999999999999999e-05,554.0,0.924187725631769,1.55,12329.095582,0.012329095582,2.385000582275533,0.005169430847784863
ASAP7,1e-30,0.00031622776601683794,570.0,0.8982456140350877,1.55,13880.247178000001,0.013880247178000002,2.3180531975099035,0.005987889834845217
ASAP7,1e-30,0.001,602.0,0.8504983388704319,1.55,17046.337873,0.017046337873,2.194834422891437,0.007766571225242334
ASAP7,1e-15,9.999999999999999e-31,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.1622776601683794e-30,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-29,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.162277660168379e-29,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1.0000000000000001e-28,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.162277660168379e-28,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-27,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.1622776601683794e-27,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,9.999999999999999e-27,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.162277660168379e-26,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-25,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.1622776601683796e-25,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-24,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.1622776601683795e-24,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-23,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
